Feature,Normalized.Dispersion
ENSG00000178028,-1.2899852979415567
ENSG00000117419,-1.3666353389760775
ENSG00000187147,-0.8741635694301859
ENSG00000126106,-1.3801683919563235
ENSG00000198520,0.26944015868664567
ENSG00000142945,-0.501375293425342
ENSG00000225721,NaN
ENSG00000142937,-1.1185922462026499
ENSG00000142959,NaN
ENSG00000173846,2.1575190407997153
ENSG00000222009,1.143882887509535
ENSG00000117425,0.894863556842835
ENSG00000070785,-1.0902420764829657
ENSG00000126107,1.3140643696636871
ENSG00000126088,-0.8879500025639088
ENSG00000162415,3.6725282227556395
ENSG00000281912,NaN
ENSG00000186603,2.9505784217117315
ENSG00000132781,-1.201875231219954
ENSG00000132773,-0.7167881577814279
ENSG00000070759,-0.7395266169157318
ENSG00000280670,-0.18848475607497983
ENSG00000132763,0.06476868385644749
ENSG00000117450,-0.9840113968914188
ENSG00000117448,-1.3781335159051986
ENSG00000132780,-0.4613073719333341
ENSG00000159588,NaN
ENSG00000159592,1.354379164746052
ENSG00000159596,1.380224094170725
ENSG00000197429,-0.8344450764907948
ENSG00000086015,1.5207712780105946
ENSG00000117461,0.3824810833472692
ENSG00000227857,NaN
ENSG00000117472,1.3233265252122266
ENSG00000250719,NaN
ENSG00000085998,3.668662856759717
ENSG00000171357,NaN
ENSG00000085999,0.11266418038636165
ENSG00000132128,-0.44457096676110996
ENSG00000173660,-1.1023497635877446
ENSG00000117481,0.4905687132803807
ENSG00000197587,NaN
ENSG00000079277,-0.5116178165651852
ENSG00000142961,-1.6220367031543323
ENSG00000123472,-1.487027643018516
ENSG00000228237,NaN
ENSG00000159658,-1.046510841842937
ENSG00000225506,-0.6096640148651603
ENSG00000224805,NaN
ENSG00000162366,-0.9057197131468541
ENSG00000123473,1.739487362518787
ENSG00000162368,-0.7462331771226108
ENSG00000225762,3.1941247165261206
ENSG00000237424,NaN
ENSG00000186564,NaN
ENSG00000269113,0.7583383020373128
ENSG00000117834,NaN
ENSG00000132122,-0.1642446005524005
ENSG00000186094,1.545313900429284
ENSG00000286597,NaN
ENSG00000162374,NaN
ENSG00000185104,1.4839217223202634
ENSG00000123080,0.7837159749318048
ENSG00000203356,NaN
ENSG00000123091,-0.5540197409519472
ENSG00000085831,-0.8220265112708248
ENSG00000085832,0.9038223680614405
ENSG00000227070,0.5825310764599766
ENSG00000117859,1.3297376520798005
ENSG00000078618,-0.34765961582464217
ENSG00000272175,NaN
ENSG00000169213,0.760501484572677
ENSG00000117862,-0.7413977358780945
ENSG00000198841,-1.1391595350181614
ENSG00000223390,NaN
ENSG00000134717,-1.1178883241906685
ENSG00000157077,0.5084909487967639
ENSG00000154222,-1.3130661550265494
ENSG00000287078,NaN
ENSG00000085840,-1.275228929494197
ENSG00000134748,-0.9008783378934243
ENSG00000134744,1.1172535568594115
ENSG00000182183,NaN
ENSG00000162377,0.15421579163452775
ENSG00000162378,0.3689337092424711
ENSG00000203995,1.137531073992152
ENSG00000121310,-1.2678878355889367
ENSG00000116171,-1.615996903413177
ENSG00000162383,NaN
ENSG00000235563,NaN
ENSG00000157184,-0.25407696941126123
ENSG00000236723,NaN
ENSG00000162384,-2.040207250786423
ENSG00000162385,-1.5589374405898844
ENSG00000226754,0.11477195190458676
ENSG00000157193,3.561956441274369
ENSG00000225675,NaN
ENSG00000174332,NaN
ENSG00000058804,0.6066245681112149
ENSG00000058799,-0.4621603193980562
ENSG00000081870,-2.1395397930720175
ENSG00000116212,-1.2797325367780383
ENSG00000116209,0.14249530425085238
ENSG00000116205,2.2872742258140693
ENSG00000215883,-1.2006862247958165
ENSG00000116221,-2.3491523641106022
ENSG00000157216,1.9638755792750084
ENSG00000162390,0.5679687843982156
ENSG00000162391,NaN
ENSG00000243725,-0.16913543329844008
ENSG00000162396,0.0735239302312378
ENSG00000116133,-1.0311223459498076
ENSG00000233203,NaN
ENSG00000169174,6.053867705445022
ENSG00000162402,0.7557105003022601
ENSG00000234810,0.9920990907140733
ENSG00000260971,4.825702106319042
ENSG00000162407,1.2595118673874204
ENSG00000162409,2.636793585459012
ENSG00000173406,4.734485850536781
ENSG00000162600,-0.02961027885081833
ENSG00000162601,1.6259151437206187
ENSG00000177606,-1.2079600798241472
ENSG00000234807,1.8159751473555428
ENSG00000232453,NaN
ENSG00000237352,1.0280263182234664
ENSG00000224609,NaN
ENSG00000172456,-0.06878519093140609
ENSG00000134709,NaN
ENSG00000162599,6.1170603909798835
