Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSG00000140105,WARS,0.01575621365487244,-0.1728727916821029,1,0.01620218489600417,0.1728727916821029,1
ENSG00000176473,WDR25,0.008815976687845293,-0.9973012270986485,0.5725726953665582,0.01620218489600417,0.9973012270986485,0.5725726953665582
ENSG00000183092,BEGAIN,0.000750295888327259,-0.9384075380450803,1,0,0.9384075380450803,1
ENSG00000214548,MEG3,0.009378698604090737,-1.172872791682103,0.44353732479546587,0.019802670428449545,1.172872791682103,0.44353732479536495
ENSG00000258663,AL117190.2,0,-4.260335632932442,0.44353732479546587,0.0018002427662226859,4.260335632932442,0.44353732479536495
ENSG00000225746,MEG8,0.005252071218290813,-0.9873171385260271,0.7296219137081125,0.009001213831113429,0.9873171385260271,0.7296219137081125
ENSG00000223403,MEG9,0.00018757397208181474,-2.260335632932442,1,0,2.260335632932442,1
ENSG00000258498,DIO3OS,0.002813609581227221,-0.260335632932442,1,0.0018002427662226859,0.260335632932442,1
ENSG00000258512,LINC00239,0.00018757397208181474,-2.260335632932442,1,0,2.260335632932442,1
ENSG00000078304,PPP2R5C,0.0241970423985541,-0.9384075380450803,0.44353732479546587,0.045006069155567145,0.9384075380450803,0.44353732479536495
ENSG00000259088,AL137779.2,0,-4.260335632932442,0.44353732479546587,0.0018002427662226859,4.260335632932442,0.44353732479536495
ENSG00000256705,AL137779.1,0.00018757397208181474,-3.260335632932442,0.5725726953665582,0.0018002427662226859,3.260335632932442,0.5725726953665582
ENSG00000271780,AL118558.3,0.0005627219162454442,-1.260335632932442,1,0,1.260335632932442,1
ENSG00000197102,DYNC1H1,0.07465444088856227,-0.8099152555901141,0.4289191262500918,0.12961747916803337,0.8099152555901141,0.4289191262500918
ENSG00000080824,HSP90AA1,1.5684935545481349,0.8776855114799449,0.5725726953665582,0.8533150711895531,-0.8776855114799449,0.5725726953665582
ENSG00000140153,WDR20,0.017069231459445142,-1.0587017717627916,0.4374715319148622,0.03420461255823103,1.0587017717627916,0.4374715319148622
ENSG00000080823,MOK,0.012755030101563402,-0.7367736768754298,0.6693657743538204,0.019802670428449545,0.7367736768754298,0.6693657743538204
ENSG00000022976,ZNF839,0.005252071218290813,-1.7242827326922328,0.2886167145325256,0.01620218489600417,1.7242827326922328,0.2886167145325256
ENSG00000100865,CINP,0.028886391700599468,1.4308262716206386,0.44353732479546587,0.009001213831113429,-1.4308262716206386,0.44353732479536495
ENSG00000196663,TECPR2,0.01425562187821792,-0.578511592958697,0.7877694020540787,0.019802670428449545,0.578511592958697,0.7877694020547953
ENSG00000156381,ANKRD9,0.007502958883272589,-0.7101385503719628,0.8373043229053019,0.010801456597336116,0.7101385503719628,0.8373043229053019
ENSG00000259230,LINC02323,0.00018757397208181474,-2.260335632932442,1,0,2.260335632932442,1
ENSG00000089902,RCOR1,0.022884024593981398,-1.0727086297566713,0.36502585225539563,0.046806311921789835,1.0727086297566713,0.36502585225556167
ENSG00000131323,TRAF3,0.02569763417520862,-1.1518111761542738,0.2905789313185582,0.055807525752903264,1.1518111761542738,0.2905789313185582
ENSG00000198752,CDC42BPB,0.031137279365581246,-0.6315188426218592,0.5978852262847054,0.046806311921789835,0.6315188426218592,0.5978852262847054
ENSG00000259515,AL117209.1,0.0009378698604090737,-0.6753731322112859,1,0,0.6753731322112859,1
ENSG00000205436,EXOC3L4,0.0018757397208181473,-0.8009040142951456,1,0.0018002427662226859,0.8009040142951456,1
ENSG00000185215,TNFAIP2,0.026635504035617694,0.5776076089585853,0.9645050384720908,0.01620218489600417,-0.5776076089585853,0.9645050384720908
ENSG00000100664,EIF5,0.09866390931503455,0.6113985172624599,0.8479472892282403,0.06300849681779401,-0.6113985172624599,0.8479472892297827
ENSG00000075413,MARK3,0.036389350583872056,-1.3809257737460316,0.1700935843499009,0.09361262384357967,1.3809257737460316,0.1700935843495915
ENSG00000166165,CKB,0.03601420263970843,1.010193309448276,0.5820816571716169,0.01620218489600417,-1.010193309448276,0.5820816571710875
ENSG00000260285,AL133367.1,0.0003751479441636295,-1.675373132211286,1,0,1.675373132211286,1
ENSG00000166166,TRMT61A,0.006377515050781701,-0.13105261598747653,1,0.005400728298668058,0.13105261598747653,1
ENSG00000258851,AL139300.2,0.0003751479441636295,-1.675373132211286,1,0,1.675373132211286,1
ENSG00000166170,BAG5,0.011254438324908885,0.08543920390928772,1,0.009001213831113429,-0.08543920390928772,1
ENSG00000126214,KLC1,0.022696450621899584,-0.13695321742715993,1,0.023403155960894918,0.13695321742715993,1
ENSG00000256053,COA8,0.030762131421417618,0.6465549626760758,0.8567912694378059,0.018002427662226858,-0.6465549626760758,0.8567912694378059
ENSG00000246451,AL049840.2,0.0005627219162454442,-3.5822637278198037,0.25179302998372965,0.007200971064890743,3.5822637278198037,0.25179302998395864
ENSG00000269910,AL049840.3,0.0003751479441636295,-2.675373132211286,0.6743214811268868,0.0018002427662226859,2.675373132211286,0.6743214811267335
ENSG00000269940,AL049840.4,0.0003751479441636295,-2.675373132211286,0.6391748982834482,0.0018002427662226859,2.675373132211286,0.6391748982834482
ENSG00000269958,AL049840.5,0.0011254438324908884,-1.4529807108748383,0.8949909561593551,0.0018002427662226859,1.4529807108748383,0.8949909561593551
ENSG00000126215,XRCC3,0.008065680799518034,1.1990959857048544,0.7014549725745779,0.0018002427662226859,-1.1990959857048544,0.7014549725745779
ENSG00000100711,ZFYVE21,0.016881657487363325,0.6624965065450974,0.8787780244541852,0.009001213831113429,-0.6624965065450974,0.8787780244541852
ENSG00000088808,PPP1R13B,0.009941420520336182,-1.2058878489100664,0.43513246284617907,0.02160291319467223,1.2058878489100664,0.43513246284617907
ENSG00000258735,LINC00637,0.0005627219162454442,-1.260335632932442,1,0,1.260335632932442,1
ENSG00000258534,AL132712.1,0.0003751479441636295,-1.675373132211286,1,0,1.675373132211286,1
ENSG00000287346,AL132712.2,0.00018757397208181474,-3.260335632932442,0.5725726953665582,0.0018002427662226859,3.260335632932442,0.5725726953665582
ENSG00000156411,ATP5MPL,0.15474852696749716,1.2597373370446903,0.4083915386527853,0.06300849681779401,-1.2597373370446903,0.4083915386535282
ENSG00000156414,TDRD9,0.00018757397208181474,-2.260335632932442,1,0,2.260335632932442,1
ENSG00000066735,KIF26A,0.0005627219162454442,-1.260335632932442,1,0,1.260335632932442,1
ENSG00000288459,AL512357.2,0.0022508876649817767,-0.5598959147913511,1,0.0018002427662226859,0.5598959147913511,1
ENSG00000258986,TMEM179,0.00018757397208181474,-2.260335632932442,1,0,2.260335632932442,1
ENSG00000260792,LINC02280,0.00018757397208181474,-2.260335632932442,1,0,2.260335632932442,1
ENSG00000203485,INF2,0.009753846548254366,-0.11737767909039931,1,0.009001213831113429,0.11737767909039931,1
ENSG00000185100,ADSSL1,0.0018757397208181473,-2.1228321091825073,0.44353732479546587,0.007200971064890743,2.1228321091825073,0.44353732479536495
ENSG00000184990,SIVA1,0.12229822979734321,1.6982861258352284,0.24155240630506436,0.036004855324453716,-1.6982861258352284,0.24155240630506436
ENSG00000142208,AKT1,0.016881657487363325,0.9255309123788917,0.7235016959537176,0.007200971064890743,-0.9255309123788917,0.7235016959537176
ENSG00000179627,ZBTB42,0.00018757397208181474,-2.260335632932442,1,0,2.260335632932442,1
ENSG00000258701,LINC00638,0.00018757397208181474,-2.260335632932442,1,0,2.260335632932442,1
ENSG00000258593,AL583810.1,0.00018757397208181474,-4.845298133653598,0.14364771613934904,0.009001213831113429,4.845298133653598,0.14364771613934904
ENSG00000099814,CEP170B,0.0024384616370635914,-1.0379432115959943,0.8400614669535581,0.0036004855324453717,1.0379432115959943,0.8400614669535581
ENSG00000166428,PLD4,0.00018757397208181474,-2.260335632932442,1,0,2.260335632932442,1
ENSG00000185567,AHNAK2,0.026072782119372247,-0.21851545723781562,1,0.028803884259562974,0.21851545723781562,1
ENSG00000140104,CLBA1,0.00356390546955448,-1.745762460102684,0.3973517128745833,0.010801456597336116,1.745762460102684,0.3973517128744026
ENSG00000170779,CDCA4,0.01575621365487244,0.3417003811476551,1,0.010801456597336116,-0.3417003811476551,1
ENSG00000183484,GPR132,0.0003751479441636295,-1.675373132211286,1,0,1.675373132211286,1
ENSG00000257556,LINC02298,0.003001183553309036,-0.1728727916821029,1,0.0018002427662226859,0.1728727916821029,1
ENSG00000286636,AL512356.4,0,-4.845298133653598,0.2822910816164305,0.0036004855324453717,4.845298133653598,0.2822910816164305
ENSG00000184916,JAG2,0.0018757397208181473,-1.3858665150163016,0.7560756670791972,0.0036004855324453717,1.3858665150163016,0.7560756670791972
ENSG00000183828,NUDT14,0.010128994492417996,1.521024080592217,0.5101145553376015,0.0018002427662226859,-1.521024080592217,0.5101145553376015
ENSG00000185024,BRF1,0.007315384911190775,-1.1083325394873924,0.5513811633970112,0.014401942129781487,1.1083325394873924,0.5513811633970112
ENSG00000184887,BTBD6,0.009941420520336182,0.49455186923102534,1,0.005400728298668058,-0.49455186923102534,1
ENSG00000179364,PACS2,0.012755030101563402,-0.3217361775965859,1,0.014401942129781487,0.3217361775965859,1
ENSG00000226174,TEX22,0.003001183553309036,-2.4948008865694646,0.1800790124638731,0.01620218489600417,2.4948008865694646,0.18007901246403685
ENSG00000251602,AL928654.1,0.0013130178045727033,-1.260335632932442,0.9291669446361311,0.0018002427662226859,1.260335632932442,0.9291669446361311
ENSG00000182979,MTA1,0.012942604073645217,0.2839848832913674,1,0.009001213831113429,-0.2839848832913674,1
ENSG00000257270,AL928654.2,0.00018757397208181474,-2.260335632932442,1,0,2.260335632932442,1
ENSG00000182809,CRIP2,0.027760947868108583,1.6369047926423574,0.3960225742802785,0.007200971064890743,-1.6369047926423574,0.3960225742802785
ENSG00000213145,CRIP1,0.3051828525771126,1.3000248945556356,0.3619875161391201,0.12241650810314264,-1.3000248945556356,0.36198751613916125
