Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value,Cluster 6 Mean Counts,Cluster 6 Log2 fold change,Cluster 6 Adjusted p value
ENSG00000180228,PRKRA,0.011061928320048382,-0.05493872471094274,1,0.01292831439686098,0.2657200136607969,1,0.010845873846373472,0.020988445193389715,1,0.014797786062440591,0.5092285350383587,1,0.007304492512479196,-0.12859706188086584,1,0,-1.5991631491257392,0.9170028092971387
ENSG00000204311,PJVK,0.0010535169828617508,-0.929407842627084,0.8959779828285467,0.0024625360755925673,0.39125089574465477,1,0.0036152912821244905,1.1465193272772485,1,0.0029595572124881185,0.8046844185645297,1,0,0.5451747057981446,1,0.004053704661298661,1.8089215895113382,1
ENSG00000079150,FKBP7,0.0036873094400161274,-0.1773353560706692,1,0.0030781700944907094,-0.41610402631294807,1,0.008435679658290477,1.3580234324709597,1,0.004932595354146863,0.45676111514422324,1,0.003652246256239598,0.7086734380810249,1,0,-0.1910784104886618,1
ENSG00000116095,PLEKHA3,0.012115445302910133,0.011698468319347732,1,0.013543948415759122,0.24238750983017354,1,0.01566626222253946,0.5064152723636308,1,0.009865190708293727,-0.2537322676607916,1,0,-1.8372949310242674,1,0.016214818645194643,0.7227649457616234,1
ENSG00000237298,TTN-AS1,0.0015802754742926261,-1.3888394612643822,0.7112021626721189,0.0024625360755925673,-0.6791384321467424,1,0.0036152912821244905,0.14651932727724848,1,0.008878671637464355,1.5860441320891905,1,0.007304492512479196,1.4139301725198932,1,0.012161113983895983,2.0499296890151326,0.6431387916255527
ENSG00000155657,TTN,0,-0.5143703433482418,1,0.0006156340188981418,1.3912508957446565,1,0,1.0209884451933906,1,0,0.6791535364806727,1,0.003652246256239598,4.35252962785575,0.9520804322061026,0,2.924398806931273,1
ENSG00000270956,AC009948.3,0,0.07059215737291602,1,0,0.39125089574465655,1,0,1.6059509459145467,1,0.0009865190708293727,3.2641160372018287,1,0,3.35252962785575,1,0,3.509361307652431,1
ENSG00000271011,AC010680.3,0.0005267584914308754,2.070592157372916,0.8959779828285467,0,0.39125089574465655,1,0,1.6059509459145467,1,0,1.2641160372018287,1,0,3.35252962785575,1,0,3.509361307652431,1
ENSG00000287149,AC092640.1,0,-0.5143703433482418,1,0,-0.1937116049765013,1,0,1.0209884451933906,1,0,0.6791535364806727,1,0,2.767567127134594,1,0.008107409322597322,6.094323808373587,0.4653860990827099
ENSG00000187231,SESTD1,0.0021070339657235015,-2.099332844069396,0.17059852767824638,0.010465778321268411,0.5611758971869678,1,0.01205097094041497,0.7799803456895953,1,0.007892152566634981,0.07648903402605622,1,0.007304492512479196,0.3829032768992686,1,0.028375932629090626,2.11704388487367,0.49270578307034624
ENSG00000144331,ZNF385B,0,0.07059215737291602,1,0.0006156340188981418,2.3912508957446565,1,0,1.6059509459145467,1,0,1.2641160372018287,1,0,3.35252962785575,1,0,3.509361307652431,1
ENSG00000163510,CWC22,0.004740826422877879,-0.5616760581265963,0.9497927106104325,0.00985014430237027,0.8937512362738387,1,0.007230582564248981,0.3258430267218104,1,0.003946076283317491,-0.5838808693531217,1,0.010956738768718794,1.1430762622268,1,0.004053704661298661,0.22395908879018211,1
ENSG00000170035,UBE2E3,0.03160550948585252,0.37197287485619324,0.9017431829909129,0.025240994774823815,-0.09907473083842522,1,0.02048665059870545,-0.3738711721478234,1,0.02762253398322244,0.08867403079195046,1,0.029217970049916785,0.28404988997298375,1,0.016214818645194643,-0.444835002734445,1
ENSG00000234663,LINC01934,0,-1.2513359375144475,1,0.0006156340188981418,0.39125089574465655,1,0.0024101941880829937,2.6059509459145467,1,0,-0.05781205768553477,1,0,2.0306015329683866,1,0.004053704661298661,3.509361307652431,0.6735980862174665
ENSG00000115232,ITGA4,0,-0.5143703433482418,1,0,-0.1937116049765013,1,0.0012050970940414968,2.6059509459145467,1,0.0009865190708293727,2.2641160372018287,1,0,2.767567127134594,1,0,2.924398806931273,1
ENSG00000188452,CERKL,0.0005267584914308754,1.070592157372916,1,0,-0.1937116049765013,1,0.0012050970940414968,2.6059509459145467,1,0,0.6791535364806727,1,0,2.767567127134594,1,0,2.924398806931273,1
ENSG00000138434,ITPRID2,0.012642203794341009,-0.4753762117323772,0.8960380772564339,0.011081412340166553,-0.6646023389888622,1,0.018076456410622454,0.248398941296462,1,0.023676457699904948,0.7181476680965355,1,0.025565723793677185,0.8606765315260745,1,0.032429637290389286,1.2035528781283444,0.6495689385653045
ENSG00000150722,PPP1R1C,0.0005267584914308754,-0.5143703433482418,1,0.0018469020566944255,1.3912508957446565,1,0.0024101941880829937,1.8689853517483392,1,0,-0.543238884855775,1,0,1.5451747057981446,1,0,1.7020063855948253,1
ENSG00000115252,PDE1A,0,-2.099332844069398,0.6749507025089745,0.0012312680377962837,0.16885847440820712,1,0.0036152912821244905,2.0209884451933906,1,0.0009865190708293727,0.26411603720182875,1,0,1.1826046264134362,1,0.008107409322597322,3.2869688863159814,0.5238930555287695
ENSG00000077232,DNAJC10,0.012115445302910133,-0.6298475607681766,0.8221939136270974,0.02400972673702753,0.7589826802451434,1,0.018076456410622454,0.1796861912124479,1,0.0108517097791231,-0.6427745584066908,1,0.021913477537437588,0.590028941582406,1,0.024322227967791966,0.7468606213790858,0.9543186282455816
