Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value,Cluster 6 Mean Counts,Cluster 6 Log2 fold change,Cluster 6 Adjusted p value,Cluster 7 Mean Counts,Cluster 7 Log2 fold change,Cluster 7 Adjusted p value
ENSG00000076043,REXO2,0.09605586848539094,0.7570355912733042,0.6526441387074197,0.05968673425559993,-0.20555987124917907,1,0.06844297909318621,0.055873199328584366,1,0.051081674827322995,-0.4332269360621619,1,0.030370902046922676,-1.0154397997156668,1,0.06565481760651548,0.003698197450432872,1,0.03243592703763564,-0.9166125582896854,1
ENSG00000182985,CADM1,0.04936204352721479,-0.6105285396401117,0.9560944930385509,0.05493892584890448,-0.4191984568453968,1,0.044880642028318825,-0.6845438200265508,1,0.11033641762701768,0.8593649216490982,1,0.10250179440836403,0.640751049008287,1,0.07878578112781857,0.2322547941966806,1,0.14596167166936036,1.1760737417861251,0.4786344465218448
ENSG00000255580,AP000462.1,0.002001163926778978,0.37874505376682954,1,0.001356516687627271,-0.15616405101160424,1,0.002244032101415941,0.748415587249557,1,0.00204326699309292,0.5878346794656686,1,0.0037963627558653345,1.9513933363491347,1,0,-0.25933620838336147,1,0.004054490879704455,2.050220577775116,0.9893019088929018
ENSG00000255689,AP003174.1,0,-0.03629244551201438,1,0,-0.004160957566554657,1,0,0.9004186806946048,1,0.00102163349654646,2.3248002736318725,1,0,2.825862454265275,1,0.001875851931614728,3.3256262923377946,1,0,2.9246896956912565,1
ENSG00000137656,BUD13,0.006003491780336934,0.7006731486541922,1,0.004069550062881813,-0.004160957566553769,1,0.006732096304247824,0.9004186806946048,1,0.00204326699309292,-0.734093415421694,1,0,-0.3440625471770371,1,0.001875851931614728,-0.374813425803298,1,0.00810898175940891,1.4507585073588443,0.9039540839533244
ENSG00000109917,ZPR1,0.0180104753410108,0.7710624765455893,0.8945800394671096,0.010173875157204533,-0.3260890524539155,1,0.011220160507079706,-0.07755501297539524,1,0.00919470146891814,-0.3976657508392174,1,0.007592725511730669,-0.1940371031724295,1,0.01875851931614728,0.7626900979466384,1,0.004054490879704455,-0.6998011692165367,1
ENSG00000235910,APOA1-AS,0,0.5486700552091417,1,0,0.5808015431546014,1,0,1.485381181415761,1,0,1.3248002736318725,1,0,3.410824954986431,1,0.001875851931614728,4.325626292337795,1,0,3.5096521964124126,1
ENSG00000160584,SIK3,0.0213457485523091,-0.9993928627004847,0.697162398944889,0.035269433878309046,-0.12590622991892264,1,0.026928385216991296,-0.5218143199884429,1,0.04699514084113716,0.39557334804525457,1,0.08351998062903736,1.2690509938582686,0.9741277748011388,0.05252385408521239,0.5615554680089909,1,0.08108981759408909,1.2224895196857277,0.5410107593735272
ENSG00000168092,PAFAH1B2,0.016009311414231824,-0.40738659720326176,1,0.0210260086582227,0.08894844682492842,1,0.01683024076061956,-0.24253927314743784,1,0.028605737903300878,0.6436224576514142,1,0.02277817653519201,0.37268982609966095,1,0.024386075110991466,0.3780937122319301,1,0.012163472639113364,-0.37299085294942813,1
ENSG00000149577,SIDT2,0.005336437138077275,1.018155338510362,0.9723873570851563,0.001356516687627271,-1.0821634695678277,1,0.003366048152123912,0.31545617997344966,1,0.00408653398618584,0.5592655272688969,1,0,0.018507532207671318,1,0.001875851931614728,0.003698197450432872,1,0.00810898175940891,1.8466871836899834,0.7987145325157421
