Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value,Cluster 6 Mean Counts,Cluster 6 Log2 fold change,Cluster 6 Adjusted p value,Cluster 7 Mean Counts,Cluster 7 Log2 fold change,Cluster 7 Adjusted p value,Cluster 8 Mean Counts,Cluster 8 Log2 fold change,Cluster 8 Adjusted p value
ENSG00000136159,NUDT15,0.01744753815406978,0.9878646503074897,1,0.014600570537929293,0.57050689666029,0.9951174067085402,0.007669423632706243,-0.46201194927332523,1,0.004794107288626556,-1.0585767223038882,1,0.0036807552675045463,-0.6801427916990983,1,0.005795507051860325,-0.6278715255758032,1,0.004194093875094342,-0.4840060566765265,1,0,6.100984033464488,1
ENSG00000276968,AL158196.1,0,0.41528587404216566,1,0.0006636622971786043,2.5387980369329526,0.9880445763872923,0,1.4448786463351926,1,0,1.596775106308666,1,0,3.364251327659355,1,0,2.372128474424196,1,0,3.560388062681927,1,0,11.167073223922259,1
ENSG00000136146,MED4,0.01869379087936048,0.6145946822655732,1,0.012609583646393481,-0.16164168120814004,1,0.00986068752776517,-0.4620119492733261,1,0.014382321865879668,0.1272898230074455,1,0.018403776337522732,0.645433080203409,1,0.0038636713679068833,-1.4004610294727309,1,0.025164563250566048,1.0823407658772828,0.7643340080124119,0,5.7747558011435,1
ENSG00000136156,ITM2B,0.0429957190225291,-0.6452556678928851,1,0.057074957557359966,-0.12154627563034115,1,0.07998113216965082,0.48440701052182966,1,0.06831602886292842,0.20682858799265258,1,0.08833812642010912,0.6115027362522221,1,0.08306893440999799,0.5186771377771389,1,0.033552751000754735,-0.7332113091469408,1,0,3.671218197035089,1
ENSG00000231473,RB1-DT,0.0006231263626453493,2.4152858740421657,1,0,0.5387980369329526,1,0,1.4448786463351926,1,0,1.596775106308666,1,0,3.364251327659355,1,0,2.372128474424196,1,0,3.560388062681927,1,0,11.167073223922259,1
ENSG00000139687,RB1,0.028663812681686066,0.5604837895821015,1,0.01725521972664371,-0.4205599785697025,1,0.01753011116047141,-0.3131485633588431,1,0.01198526822156639,-0.8626565123286323,1,0.02944604214003637,0.5916618237624283,1,0.0231820282074413,0.17775042925734574,1,0.050329126501132096,1.3660100175150758,0.5439856013192672,0,5.1336502223848095,1
ENSG00000139679,LPAR6,0.002492505450581397,0.9298590468719237,1,0.0006636622971786043,-0.7831300579544092,1,0,-1.0145529723021038,1,0.002397053644313278,1.0118126055875099,1,0.0073615105350090925,2.779288826938199,0.9383357236015583,0.0019318356839534416,1.0502003795368342,1,0,1.1009564440446287,1,0,8.707641605284962,1
ENSG00000136161,RCBTB2,0,-0.16967662667899042,1,0.0006636622971786043,1.5387980369329526,1,0,0.8599161456140365,1,0.001198526822156639,2.596775106308666,1,0,2.779288826938199,1,0,1.7871659737030399,1,0,2.975425561960771,1,0,10.582110723201103,1
ENSG00000274929,AL157813.1,0.0006231263626453493,2.4152858740421657,1,0,0.5387980369329526,1,0,1.4448786463351926,1,0,1.596775106308666,1,0,3.364251327659355,1,0,2.372128474424196,1,0,3.560388062681927,1,0,11.167073223922259,1
ENSG00000152207,CYSLTR2,0,0.41528587404216566,1,0,0.5387980369329526,1,0,1.4448786463351926,1,0,1.596775106308666,1,0,3.364251327659355,1,0.0019318356839534416,4.372128474424196,1,0,3.560388062681927,1,0,11.167073223922259,1
ENSG00000275202,AL161421.1,0,-0.9066422208451961,1,0,-0.7831300579544092,1,0.0021912638950589264,2.4448786463351926,1,0.001198526822156639,1.596775106308666,1,0,2.0423232327719933,1,0.0019318356839534416,2.372128474424196,1,0,2.2384599677945634,1,0,9.845145129034897,1
