feature_call,num_cells,pct_cells,median_umis,stddev_umis
ATF4-2|CSNK2A1-2|Non-Targeting-7,1,0.0001771479185119575,476,0
ATF4-2|ELOF1-1|H2AFY-1|Non-Targeting-8,1,0.0001771479185119575,2277,0
ATF4-2|GRB2-1,1,0.0001771479185119575,914,0
ATF4-2|HDAC1-2,1,0.0001771479185119575,199,0
ATF4-2|SRPK1-2,1,0.0001771479185119575,61,0
ATF4-2|BRD4-2,1,0.0001771479185119575,249,0
ATF4-2|PPIB-1,2,0.000354295837023915,989.5,113.5
ATF4-2|BAZ1B-1|GSK3A-2|RAB1A-2,1,0.0001771479185119575,580,0
ATF4-2|BAZ1B-2|GSK3A-1,1,0.0001771479185119575,205,0
ATF4-2|CAMLG-1,1,0.0001771479185119575,116,0
ATF4-2|SNRNP40-1,1,0.0001771479185119575,528,0
ATF4-2|GSK3A-1,1,0.0001771479185119575,307,0
ATF4-2|EIF4EBP1-2,1,0.0001771479185119575,338,0
ATF4-2|CDKN3-2,1,0.0001771479185119575,684,0
BAZ1B-1,33,0.005845881310894597,333,232.18985060024283
BAZ1B-1|CSNK2A1-2|Non-Targeting-5|SET-2|SRPK1-2,2,0.000354295837023915,220.5,14.5
BAZ1B-1|H2AFY-2,1,0.0001771479185119575,305,0
BAZ1B-1|GSK3A-2,2,0.000354295837023915,377.5,37.5
BAZ1B-1|MBNL1-2|Non-Targeting-5|Non-Targeting-7,2,0.000354295837023915,182.0,25.0
BAZ1B-1|NOC2L-1,1,0.0001771479185119575,373,0
BAZ1B-1|CAMLG-1|MBNL1-1,1,0.0001771479185119575,248,0
BAZ1B-1|EZH2-1|Non-Targeting-8|PAIP2-2,2,0.000354295837023915,313.5,58.5
BAZ1B-1|EZR-2,1,0.0001771479185119575,1067,0
BAZ1B-1|CDKN3-1|GSK3A-1,1,0.0001771479185119575,592,0
BAZ1B-1|GRB2-2,1,0.0001771479185119575,598,0
BAZ1B-1|GRB2-1|KDM1A-1,1,0.0001771479185119575,321,0
BAZ1B-1|CAMLG-1,1,0.0001771479185119575,177,0
BAZ1B-1|CSNK2A1-2,1,0.0001771479185119575,408,0
BAZ1B-1|LMNA-2|Non-Targeting-8,1,0.0001771479185119575,1116,0
BAZ1B-1|Non-Targeting-7|TMPRSS2-1,1,0.0001771479185119575,453,0
BAZ1B-1|CAMLG-2|JUN-2|SUZ12-2,1,0.0001771479185119575,1114,0
BAZ1B-1|EIF4EBP1-2,1,0.0001771479185119575,493,0
BAZ1B-1|MBNL1-1|MORF4L1-2|Non-Targeting-5|Non-Targeting-8|SUZ12-2,1,0.0001771479185119575,1917,0
BAZ1B-2,42,0.007440212577502214,25.0,54.24319554597193
BAZ1B-2|Non-Targeting-8,2,0.000354295837023915,672.5,261.5
BAZ1B-2|SUZ12-1,1,0.0001771479185119575,76,0
BAZ1B-2|UBE2N-1,1,0.0001771479185119575,64,0
BAZ1B-2|PAIP2-2|PPIB-2|SRPK1-2,1,0.0001771479185119575,485,0
BAZ1B-2|CSNK2A1-1,1,0.0001771479185119575,124,0
BAZ1B-2|EZR-1|GSK3A-2|H2AFY-1|HRAS-2|Non-Targeting-7|RAB1A-2|SMARCD1-1,1,0.0001771479185119575,1117,0
BAZ1B-2|EZR-2,1,0.0001771479185119575,791,0
BAZ1B-2|RBM25-2,2,0.000354295837023915,149.0,34.0
BAZ1B-2|GSK3A-1|TMPRSS2-2,1,0.0001771479185119575,52,0
BAZ1B-2|TMPRSS2-2,1,0.0001771479185119575,54,0
BAZ1B-2|CDKN3-2,1,0.0001771479185119575,280,0
BAZ1B-2|GRB2-2,1,0.0001771479185119575,161,0
BAZ1B-2|KDM1A-2,1,0.0001771479185119575,578,0
BAZ1B-2|DPP4-1,1,0.0001771479185119575,67,0
BRD4-1|Non-Targeting-7,2,0.000354295837023915,417.0,284.0
BRD4-1,63,0.011160318866253321,76,88.45471060189163
BRD4-1|MBNL1-1,1,0.0001771479185119575,976,0
BRD4-1|RBM25-2,1,0.0001771479185119575,52,0
BRD4-1|EZH2-1|TRA2B-2,1,0.0001771479185119575,718,0
BRD4-1|JUN-1,1,0.0001771479185119575,301,0
BRD4-1|PPP2CA-1,2,0.000354295837023915,187.0,139.0
BRD4-1|DPP4-1|MBNL1-2|SUZ12-1,1,0.0001771479185119575,2185,0
BRD4-1|CAMLG-2|CSNK2A1-2|EIF4EBP1-2,1,0.0001771479185119575,980,0
BRD4-1|SET-2,1,0.0001771479185119575,635,0
BRD4-1|CSNK2A1-1,1,0.0001771479185119575,80,0
BRD4-1|EZR-2|SET-1,1,0.0001771479185119575,1494,0
BRD4-1|SRRT-1,1,0.0001771479185119575,151,0
BRD4-1|H2AFY-1,1,0.0001771479185119575,1415,0
BRD4-1|DPP4-1,2,0.000354295837023915,1017.0,495.0
BRD4-1|PAIP2-2,1,0.0001771479185119575,128,0
BRD4-1|EZR-1|PPP2CA-1|UBE2N-1,1,0.0001771479185119575,1103,0
BRD4-1|EZH2-2,1,0.0001771479185119575,1798,0
BRD4-1|CDKN3-2|EZH2-1|HRAS-1|LMNA-1|MBNL1-1,1,0.0001771479185119575,786,0
BRD4-1|CSNK2A1-2,1,0.0001771479185119575,70,0
BRD4-1|RBM25-1|TRA2B-2,1,0.0001771479185119575,250,0
BRD4-1|CAMLG-1,2,0.000354295837023915,215.0,30.0
BRD4-1|UBE2N-1,1,0.0001771479185119575,343,0
BRD4-1|MBNL1-1|SMARCD1-1,2,0.000354295837023915,253.0,90.0
BRD4-1|PPIB-1,2,0.000354295837023915,529.0,249.0
