Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value
ENSG00000160181,TFF2,0.00046493795884822435,1.796276106674073,0.8970716366612504,0,-0.17376070416683298,1,0,1.1198791314622785,1,0,2.3865219745284936,1
ENSG00000160182,TFF1,0.0032545657119375706,1.2113136059529168,0.7751104335984486,0.0004711326608692671,-1.758723204887989,1,0.003635046317859549,1.271882224907329,1,0,-0.31391774361259905,1
ENSG00000160188,RSPH1,0.0013948138765446732,0.4743480117867094,1,0.0004711326608692671,-0.9811156262244367,1,0.0027262847383946616,1.7979510365749167,1,0,0.3865219745284936,1
ENSG00000160190,SLC37A1,0.0023246897942411217,-0.07819301124206923,1,0.0023556633043463355,-0.04822982208297333,1,0.0027262847383946616,0.4194394133211876,1,0.003899068309189894,1.1641295531920441,0.8285043270348931
ENSG00000160191,PDE9A,0.004649379588482243,1.085782723869058,0.7485947452221939,0.0014133979826078014,-1.173760704166833,1,0.0018175231589297744,-0.38262120906690456,1,0.005848602463784841,1.3865219745284936,0.6544349926267228
ENSG00000225218,AP001628.1,0.004184441629634019,0.5332417008402786,1,0.0014133979826078014,-1.3436857056091451,1,0.004543807897324436,0.7048416321834345,1,0.005848602463784841,1.2165969730861814,0.6936044115164159
ENSG00000160193,WDR4,0.01813258039508075,0.417764483420342,0.8970716366612504,0.013662847165208747,-0.2210664189451892,1,0.00999637737411376,-0.6170864627039272,1,0.021444875700544416,0.649556380362287,0.7744569012983251
ENSG00000160194,NDUFV3,0.021852084065866546,-0.09449482357116956,1,0.026854561669548225,0.3804395427836358,1,0.02271903948662218,0.025902983253265788,1,0.011697204927569682,-0.828490916442358,0.7975854972359986
ENSG00000160199,PKNOX1,0.0027896277530893463,-0.9199309273253364,0.7692448849227387,0.0023556633043463355,-1.173760704166833,1,0.009087615794648871,1.3313832366559906,1,0.013646739082164629,1.9270903558911954,0.2896626142013488
ENSG00000160201,U2AF1,0,-0.2037238933259271,1,0.0004711326608692671,1.826239295833167,1,0,1.1198791314622785,1,0,2.3865219745284936,1
ENSG00000286549,AP001631.2,0,-0.2037238933259271,1,0.0004711326608692671,1.826239295833167,1,0,1.1198791314622785,1,0,2.3865219745284936,1
ENSG00000237864,LINC00322,0.0009298759176964487,0.7962761066740729,1,0.0004711326608692671,-0.17376070416683298,1,0,-0.20204896342508327,1,0.001949534154594947,2.3865219745284936,0.6864544045471956
ENSG00000142178,SIK1,0,-0.7886863940470832,1,0.0004711326608692671,0.826239295833167,1,0,0.5349166307411224,1,0.001949534154594947,3.3865219745284936,0.562476527317977
ENSG00000185186,LINC00313,0.0013948138765446732,0.4743480117867094,1,0,-2.173760704166833,1,0.0027262847383946616,1.7979510365749167,1,0.001949534154594947,1.579167052470888,0.9167744993445741
ENSG00000160207,HSF2BP,0.0023246897942411217,-0.7886863940470841,0.8970716366612504,0.005182459269561938,0.826239295833167,1,0.003635046317859549,0.19387971290605588,1,0.003899068309189894,0.579167052470889,1
ENSG00000160208,RRP1B,0.0344054089547686,-0.09384627555355429,1,0.03910401085214917,0.19618890558347335,1,0.03453294001966571,-0.045929761507800926,1,0.0331420806281141,-0.05826286814440351,1
ENSG00000160209,PDXK,0.15342952641991403,0.06367570506926779,1,0.15358924744338107,0.06564395528206157,1,0.15358070692956594,0.05556431798056538,1,0.10527484434812714,-0.5221162833662931,0.9584752884407539
ENSG00000287507,AP001053.1,0.00046493795884822435,-1.9041636114670197,0.5280301277820265,0.0028267959652156028,0.6335942178907708,1,0.004543807897324436,1.5349166307411224,1,0.001949534154594947,0.686082256387401,1
ENSG00000160213,CSTB,0.13901644969561908,0.5133421434025731,0.6172054341341713,0.1060048486955851,-0.13165887128700327,1,0.10905138953578646,-0.04872047251346556,1,0.037041148937303994,-1.6247052808947609,0.29863937013622777
ENSG00000160214,RRP1,0.011623448971205609,0.24878831137157853,1,0.009893785878254608,-0.10664650830829636,1,0.009087615794648871,-0.14860970446362298,1,0.011697204927569682,0.3609868824213551,1
ENSG00000215458,AATBC,0,-0.2037238933259271,1,0,-0.17376070416683298,1,0.0009087615794648872,3.1198791314622785,1,0,2.3865219745284936,1
