Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value,Cluster 6 Mean Counts,Cluster 6 Log2 fold change,Cluster 6 Adjusted p value
ENSG00000287935,AC136297.1,0.0005163982924743481,2.0281098480802324,0.8928128201212178,0,0.6075614836871477,1,0,2.3247062415362834,1,0,1.4830600999412322,1,0,2.1480906328245393,1,0,2.509106394848036,1
ENSG00000285985,LINC02689,0,-1.293818246807131,0.8928128201212178,0.0006877816144537551,0.6075614836871477,1,0.0018747624517963964,2.3247062415362834,0.7548761938065001,0.0011204839265432178,1.4830600999412322,1,0.0016780190965453461,2.1480906328245393,1,0,1.1871782999606744,1
ENSG00000174672,BRSK2,0.0015491948774230442,-0.14181515336207973,1,0.0020633448433612653,0.43763648224483553,1,0.0018747624517963964,0.8652746228989852,1,0.0011204839265432178,0.023628481303934024,1,0.0016780190965453461,0.6886590141872428,1,0.00421533749105801,1.7721408006818304,1
ENSG00000182208,MOB2,0.008262372679589569,-0.2063554055567911,1,0.00962894260235257,0.12213465651690569,1,0.014998099614371171,0.9096687422574385,0.6602319331127661,0.007843387485802525,-0.13164974417397524,1,0.00839009548272673,0.06062779157420106,1,0.010538343727645024,0.421643553597697,1
ENSG00000184545,DUSP8,0.0010327965849486961,-0.194282573256217,1,0.0006877816144537551,-0.3924385163128523,1,0.0018747624517963964,1.3247062415362834,0.9753471473383871,0.0022409678530864357,1.2606676786047846,1,0.0016780190965453461,1.1480906328245393,1,0.002107668745529005,1.509106394848036,1
ENSG00000233930,KRTAP5-AS1,0.0005163982924743481,0.44314734735907635,1,0,-0.3924385163128523,1,0.0037495249035927928,3.9096687422574394,0.36548265304603933,0,0.4830600999412322,1,0,1.1480906328245393,1,0,1.509106394848036,1
ENSG00000244242,IFITM10,0.0025819914623717403,1.291144253914025,0.8271382504538111,0.0013755632289075101,0.19252398440830376,1,0,0.0027781466489198436,1,0.0011204839265432178,0.3131350984989201,1,0,-0.17383746206282247,1,0.002107668745529005,1.339181393405724,1
ENSG00000117984,CTSD,0.08520571825826743,0.5266323328621567,0.7002533837914968,0.0687781614453755,0.03695427594306233,1,0.06749144826467027,0.02636496696653623,1,0.028012098163580443,-1.3672469673009187,1,0.08390095482726731,0.3693048629637077,1,0.04847638114716711,-0.4643518176994714,1
ENSG00000287484,AC068580.5,0,0.028109848080232425,1,0,0.6075614836871477,1,0,2.3247062415362834,1,0,1.4830600999412322,1,0.0016780190965453461,4.148090632824539,1,0,2.509106394848036,1
ENSG00000130592,LSP1,0.0015491948774230442,0.7061817531928689,1,0.0006877816144537551,-0.19979343837045604,1,0,0.32470624153628336,1,0,-0.5169399000587678,1,0.0016780190965453461,1.3407357107669355,1,0.00421533749105801,2.509106394848036,1
ENSG00000214026,MRPL23,0.025819914623717403,0.07117856997211724,1,0.03232573587932649,0.5200986424368095,1,0.011248574710778378,-1.0278101731845029,0.6363592482849844,0.013445807118518614,-0.9145322648782024,1,0.03188236283436158,0.4476509146834484,1,0.02950736243740607,0.33918139340572395,1
ENSG00000183734,ASCL2,0,0.028109848080232425,1,0,0.6075614836871477,1,0,2.3247062415362834,1,0.0011204839265432178,3.4830600999412322,1,0,2.1480906328245393,1,0,2.509106394848036,1
ENSG00000238184,CD81-AS1,0,-0.5568526526409237,1,0,0.02259898296599161,1,0,1.7397437408151255,1,0,0.8980975992200761,1,0,1.5631281321033832,1,0.00421533749105801,5.094068895569192,1
ENSG00000110651,CD81,0.14665711506271484,0.3595607170861008,0.8843252984138711,0.12036178252940713,-0.06743321789648071,1,0.08811383523443063,-0.5207838094080928,0.9449439732732563,0.11653032836049465,-0.10875607182098612,1,0.10571520308235681,-0.24851414835731767,1,0.1327831309683273,0.11250161366617784,1
