Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value,Cluster 6 Mean Counts,Cluster 6 Log2 fold change,Cluster 6 Adjusted p value,Cluster 7 Mean Counts,Cluster 7 Log2 fold change,Cluster 7 Adjusted p value,Cluster 8 Mean Counts,Cluster 8 Log2 fold change,Cluster 8 Adjusted p value,Cluster 9 Mean Counts,Cluster 9 Log2 fold change,Cluster 9 Adjusted p value
ENSG00000123358,NR4A1,0.017140821217134963,-1.3062023925235478,0.49728586672758684,0.04341646917478315,0.2885160952320325,1,0.033341220252439865,-0.150146990475875,1,0.05200189528547734,0.5844217925561468,1,0.04283877641134986,0.2557176173307303,1,0.040333593648858,0.168991764516921,1,0.04208407228107174,0.240635249801203,1,0.08785271162697614,1.3649668526920773,0.49487247619904956,0,4.372657357572154,1
ENSG00000259884,AC025259.3,0,0.09433553706018039,1,0,0.31451130376497716,1,0,1.1247128507547082,1,0,2.7930084143675646,1,0,0.8209977521901877,1,0,1.7043234975134762,1,0,1.9215668090530809,1,0.008366924916854871,6.1415494259548655,0.44856438409227756,0,10.582110723201103,1
ENSG00000123395,ATG101,0.033567441550222635,0.4440815760873065,0.9988460343753325,0.024924269341079216,-0.11175345093712075,1,0.033341220252439865,0.3984736631815604,1,0.0037144210918198103,-1.9349120401956341,0.9711877444173441,0.025703265846809913,-0.03764639856427099,1,0.031166867819572095,0.2993396628985554,1,0.02104203614053587,-0.2628577620843471,1,0.012550387375282307,-0.7380338236579185,1,0,4.845145129034898,1
ENSG00000257663,AC025259.1,0.0014284017680945803,2.2642605385024925,0.9858496980905215,0,-0.10052619551386677,1,0,0.7096753514758642,1,0,2.3779709150887207,1,0,0.40596025291134374,1,0,1.2892859982346323,1,0.0021042036140535873,2.921566809053081,1,0,2.5565869252337095,1,0,10.167073223922259,1
ENSG00000284791,SMIM41,0.0014284017680945803,3.2642605385024925,0.8552675175668234,0,0.31451130376497716,1,0,1.1247128507547082,1,0,2.7930084143675646,1,0,0.8209977521901877,1,0,1.7043234975134762,1,0,1.9215668090530809,1,0,2.9716244245125534,1,0,10.582110723201103,1
ENSG00000258279,LINC00592,0,0.09433553706018039,1,0.0008040086884219102,1.8994738044861332,1,0.0012823546250938411,2.7096753514758642,1,0,2.7930084143675646,1,0,0.8209977521901877,1,0,1.7043234975134762,1,0,1.9215668090530809,1,0,2.9716244245125534,1,0,10.582110723201103,1
ENSG00000167767,KRT80,0.014284017680945803,0.7140634559420143,0.9858496980905215,0.009648104261062922,-0.014796321487982489,1,0.007694127750563046,-0.2643294399911911,1,0.01114326327545943,0.5199899199611488,1,0.010709694102837465,0.192966529577145,1,0.012833416161000274,0.5343984960711641,1,0.0021042036140535873,-1.4003612858342818,1,0.0041834624584274355,-0.35030367037480925,1,0,6.236335886359374,1
ENSG00000135480,KRT7,1.117724383534009,0.620183262980514,0.8362325631506121,0.6190866900848708,-0.49649229535549144,1,0.7399186186791463,-0.16898550966263176,1,0.41601516228381874,-1.0051981254758544,1,1.0034983374358704,0.3534791004538646,1,1.0285066380458792,0.3647059232544471,1,0.48817523846043226,-0.7954476282175962,1,0.3053927594652028,-1.4491893348852676,0.8406367554358263,0,-0.07013673683276173,1
ENSG00000170442,KRT86,0.0028568035361891606,-0.8567548624588719,1,0.005628060818953372,0.1990340863450406,1,0.0025647092501876823,-0.6595584581898546,1,0.007428842183639621,1.0087371054230019,1,0.01178066351312121,1.5314911349952025,1,0.005500035497571546,0.3823954026261136,1,0.004208407228107175,0.1372955001085181,1,0.0041834624584274355,0.5565869252337086,1,0,7.122679104563806,1
ENSG00000257830,AC021066.1,0,-0.9056644629398196,1,0.0008040086884219102,0.5775457095987715,1,0,0.12471285075470817,1,0,1.7930084143675646,1,0.003212908230851239,2.8209977521901886,1,0,0.7043234975134762,1,0,0.9215668090530809,1,0.0041834624584274355,3.234658830346346,0.7733645507454411,0,9.582110723201103,1
ENSG00000205426,KRT81,3.471730497353877,0.5414438772473482,0.9108327689250852,2.258460405777146,-0.28249455515426436,1,2.704485904322911,0.03727682315454528,1,1.0326090635259073,-1.3974535180774428,1,2.8841206218941293,0.15010628701693407,1,3.3366882018600714,0.3737068215060082,1,1.738072185208263,-0.6485886983411953,1,0.681904380723672,-1.9962227287513301,0.6130049758091046,0,-1.7584812159512946,1
ENSG00000287051,AC121757.2,0.0007142008840472901,2.6792980377813365,0.9858496980905215,0,0.8994738044861332,1,0,1.7096753514758642,1,0,3.3779709150887207,1,0,1.4059602529113437,1,0,2.2892859982346323,1,0,2.506529309774237,1,0,3.5565869252337095,1,0,11.167073223922259,1
ENSG00000257829,AC121757.1,0,0.6792980377813365,1,0,0.8994738044861332,1,0,1.7096753514758642,1,0,3.3779709150887207,1,0.0010709694102837464,3.4059602529113437,1,0,2.2892859982346323,1,0,2.506529309774237,1,0,3.5565869252337095,1,0,11.167073223922259,1
ENSG00000170523,KRT83,0.0014284017680945803,2.2642605385024925,0.9858496980905215,0,-0.10052619551386677,1,0,0.7096753514758642,1,0,2.3779709150887207,1,0,0.40596025291134374,1,0.001833345165857182,2.7043234975134762,1,0,1.506529309774237,1,0,2.5565869252337095,1,0,10.167073223922259,1
ENSG00000205420,KRT6A,0,0.6792980377813365,1,0,0.8994738044861332,1,0,1.7096753514758642,1,0,3.3779709150887207,1,0,1.4059602529113437,1,0.001833345165857182,4.289285998234632,1,0,2.506529309774237,1,0,3.5565869252337095,1,0,11.167073223922259,1
ENSG00000186081,KRT5,0.0007142008840472901,2.6792980377813365,0.9858496980905215,0,0.8994738044861332,1,0,1.7096753514758642,1,0,3.3779709150887207,1,0,1.4059602529113437,1,0,2.2892859982346323,1,0,2.506529309774237,1,0,3.5565869252337095,1,0,11.167073223922259,1
